2025-06-02 05:49:13,448 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=80
2025-06-02 05:58:33,213 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-80
2025-06-02 06:06:17,268 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=80
2025-06-02 06:10:33,430 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=80
2025-06-02 06:10:41,479 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=80
2025-06-02 06:16:32,598 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-70
2025-06-02 06:22:14,981 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=80
2025-06-02 06:22:37,002 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=80
2025-06-02 06:35:10,893 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-80
2025-06-02 06:36:22,635 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-80
2025-06-02 06:44:37,996 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-80
2025-06-02 06:59:07,458 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-80
2025-06-02 06:59:28,466 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-80
2025-06-02 06:59:31,093 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-80
2025-06-02 07:21:15,350 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=90
2025-06-02 07:30:23,292 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-80
2025-06-02 09:11:39,708 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 09:14:44,575 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-60
2025-06-02 09:24:14,087 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 09:25:30,086 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 09:26:00,541 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-60
2025-06-02 09:29:10,009 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=70
2025-06-02 09:29:59,899 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=70
2025-06-02 09:30:59,946 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 09:33:50,663 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-80
2025-06-02 09:36:19,789 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=80
2025-06-02 09:37:05,488 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=80
2025-06-02 09:37:11,922 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=80
2025-06-02 09:39:46,041 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-80
2025-06-02 09:42:41,896 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 09:42:53,203 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 09:43:53,950 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-60
2025-06-02 09:47:15,337 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 09:49:39,612 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 09:52:30,242 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-70
2025-06-02 09:52:47,708 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-90
2025-06-02 09:56:42,221 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=70
2025-06-02 09:56:54,587 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=80
2025-06-02 09:58:59,819 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 09:59:39,731 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-80
2025-06-02 10:08:12,189 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 10:08:30,675 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 10:11:39,950 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-60
2025-06-02 10:13:10,501 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 10:14:20,593 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-60
2025-06-02 10:16:54,523 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 10:17:03,491 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 10:17:20,676 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-60
2025-06-02 10:20:40,773 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 10:22:40,684 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 11:12:10,709 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 11:14:11,708 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 11:14:22,805 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 11:14:37,331 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=80
2025-06-02 11:14:40,023 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=80
2025-06-02 11:14:51,583 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 11:15:01,622 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 11:16:29,904 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-60
2025-06-02 11:19:12,622 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-60
2025-06-02 11:21:20,889 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-60
2025-06-02 11:24:30,012 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 12:00:20,747 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 12:06:01,252 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=70
2025-06-02 12:06:10,182 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 12:07:52,816 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-80
2025-06-02 12:08:04,052 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-80
2025-06-02 12:08:09,989 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-80
2025-06-02 12:08:30,470 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-80
2025-06-02 12:13:33,269 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-60
2025-06-02 12:14:02,691 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 12:15:31,291 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-60
2025-06-02 12:17:22,135 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 12:17:57,543 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 12:18:18,923 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 12:19:23,994 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 12:22:10,879 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-60
2025-06-02 12:25:23,099 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 12:25:50,478 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 12:26:41,129 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-60
2025-06-02 12:26:53,602 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-60
2025-06-02 12:27:47,705 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-80
2025-06-02 12:27:51,851 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-80
2025-06-02 12:28:02,861 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-80
2025-06-02 12:35:41,434 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=80
2025-06-02 12:42:13,157 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-80
2025-06-02 12:42:24,383 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-80
2025-06-02 12:45:31,515 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=80
2025-06-02 12:45:40,223 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=80
2025-06-02 12:46:16,977 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=80
2025-06-02 12:46:50,008 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=80
2025-06-02 12:47:00,776 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 12:48:21,366 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-80
2025-06-02 12:52:16,132 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=90
2025-06-02 12:52:20,092 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 12:55:36,007 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-90
2025-06-02 12:56:53,725 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-60
2025-06-02 12:56:59,995 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-60
2025-06-02 12:59:36,591 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=70
2025-06-02 13:06:30,740 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=80
2025-06-02 13:08:51,861 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 13:09:40,764 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-60
2025-06-02 13:12:09,051 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-80
2025-06-02 13:13:25,774 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-90
2025-06-02 13:13:30,449 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-80
2025-06-02 13:16:32,186 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=80
2025-06-02 13:19:40,959 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-60
2025-06-02 13:20:35,733 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=90
2025-06-02 13:20:43,569 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=80
2025-06-02 13:24:28,225 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 13:28:31,567 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=80
2025-06-02 13:32:52,090 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-80
2025-06-02 13:35:33,171 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 13:37:10,770 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-60
2025-06-02 13:37:50,435 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-60
2025-06-02 13:39:50,022 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=70
2025-06-02 13:40:02,549 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=70
2025-06-02 13:40:14,992 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=70
2025-06-02 13:40:42,477 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=80
2025-06-02 13:41:42,955 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-80
2025-06-02 13:41:52,069 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-60
2025-06-02 13:44:22,040 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=80
2025-06-02 13:44:40,367 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=80
2025-06-02 13:44:51,379 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=70
2025-06-02 13:48:11,839 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 17:05:20,323 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=70
2025-06-02 17:05:53,049 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 17:10:31,541 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 17:14:29,963 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-70
2025-06-02 17:14:40,091 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-60
2025-06-02 17:14:51,662 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-70
2025-06-02 17:18:21,273 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 17:18:33,193 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 17:22:06,177 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-60
2025-06-02 17:25:51,001 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-60
2025-06-02 17:26:00,288 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-60
2025-06-02 17:26:30,058 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-90
2025-06-02 17:26:40,533 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-80
2025-06-02 17:28:32,290 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=90
2025-06-02 17:30:41,871 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 17:32:02,128 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 17:32:12,341 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 17:38:42,204 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=70
2025-06-02 17:39:26,242 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 20:58:13,156 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-60
2025-06-02 20:58:23,004 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-80
2025-06-02 20:58:30,798 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-60
2025-06-02 21:01:00,311 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-70
2025-06-02 22:14:04,241 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=60
2025-06-02 22:15:30,488 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-60
2025-06-02 22:15:42,347 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-60
2025-06-02 22:15:42,415 | DEBUG | DecisionEngine | Signal de vente détecté | Score=-60
2025-06-02 22:21:02,182 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=70
2025-06-02 22:21:03,419 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=70
2025-06-02 22:21:03,475 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=70
2025-06-02 22:21:03,538 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=70
2025-06-02 22:21:05,387 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=70
2025-06-02 22:21:08,366 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=70
2025-06-02 22:21:10,668 | DEBUG | DecisionEngine | Signal d'achat détecté | Score=70
